Prefix	Name	Origin	Owner		
AAAU	acl	HK	Asia Container Leasing Co., Ltd.		

AACU	ace global lines	AE	Ace Global Lines Dwc. LLC.		

AAFU		AT	Bundesministerium für Landesverteidigung		

AAGU		DE	MTU Onsite Energy Systems GmbH.		

AAIU	A&A shipping	IL	A&A Shipping Ltd.		

AAMU	albatross	HK	Albatross Tank Leasing Co., Ltd.		

AATU		IN	Amfico Agencies Pvt. Ltd.		

ABBU		NL	UTS - Abbink Rotterdam BV.		

ABBU	abc	US	Atlantic Bulk Carriers Management Ltd.		

ABCU		US	ABC Mobile Storage LLC.		

ABCU	chehab	NG	Chehab Industrial & Medical Gases S.A.L.		

ABEU	vandenbosch.com	NL	L&T BV.		

ABLK	aurizon	AU	Aurizon Holdings Ltd.		

ABLU		BE	Etat - Major des Forces Armees Belges		

ABMU		RU	Ojsc. Abakanvagonmash		

ABYU	abbey	GB	Abbey Logistics Group Ltd.		

ACAU		FI	Arctic Container Oy.		

ACAU	bridgestone	JP	Bridgestone Corporation		

ACBU		BE	ACB Containers NV.		

ACCU	atlantic coast	US	Atlantic Coast Container Brokerage & Sales Inc.		

ACDU		BE	Desotec NV.		

ACEU		KR	Ace Engineering & Co., Ltd.		

ACEU		GB	Ace Container Services Ltd.		

ACIU		US	Allstate Container Inc.		

ACLU	acl	US	Atlantic Container Line		

ACNU	akzonobel	NL	AkzoNobel Polymer Chemicals BV.		

ACOU	acotral	ES	Compañía Logística Acotral S.A.		

ACPU	acp	BE	Cardigas / ACP Belgium		

ACRU	container removals	AU	Australian Container Removals Pty. Ltd.		

ACRU		CN	Accipiter Oilfield Equipment		

ACSU	arrc	CA	Commonwealth Independent States Navigation Inc.		

ACXU	atlanticargo	NO	G2 Ocean AS.		

ADAA	adami	IT	Adami Autotrasporti S.p.A.		

ADAU	air drilling	US	Air Drilling Associates Inc.		

ADBU		IN	Agrocel Industies Pvt. Ltd.		

ADDU	adaptainer	GB	Adaptainer Leasing Ltd.		

ADFT		AU	Australian Goverment - Department of Defense		

ADFU		AU	Australian Goverment - Department of Defense		

ADHU		IT	Adhoc S.r.l.		

ADKU	aga	DK	AGA Gas A/S.		

ADMU	admiral	TR	Tetra Leasing and Trading Inc.		

ADNU		UA	Ademn LLC.		

ADRU	adr trans	ES	Barcelonesa de Drogas y Productos Quimicos S.A.		

ADXU	act	US	Applied Cryo Technologies		

ADYU		AZ	ADY Container LLC.		

AEDB	aurizon	AU	Aurizon Holdings Ltd.		

AEED	rail containers	AU	Aurizon Holdings Ltd.		

AEGU		GB	Aegeus Energy Solutions Ltd.		

AEHQ	aurizon	AU	Aurizon Holdings Ltd.		

AELU	mitsubishi	JP	Mitsubishi Chemical Corporation		

AELU	ael	HK	Asian Express Line Co., Ltd.		

AESU		DO	AES Andres		

AEVU	gridbank	CH	Bluehorn S.A.		

AEXU	ael	GB	Africa Express Line Ltd.		

AFBU		BE	Affilips NV.		

AFCU	afc	BE	Adpo NV.		

AFDB	aurizon	AU	Aurizon Holdings Ltd.		

AFED	aurizon	AU	Aurizon Holdings Ltd.		

AFIU	aga	DK	Aga Gas		

AFIU	agmark	US	Agmark Capital Holdings Inc.		

AFLU	air flow	FR	Air Flow S.A.R.L.		

AFMU		ES	Alfil Logistics S.A.		

AFRF	aurizon	AU	Aurizon Holdings Ltd.		

AFRU	action force	CA	Action Force Transport Ltd.		

AFSU		IT	Autofrigo Sud Service Soc. Con S.r.l.		

AFVU	alfons freriks	NL	Alfons Freriks Logistics BV.		

AGAU	linde	NL	Linde Gas Benelux BV.		

AGBU		IN	Archean Chemical Industries Pvt. Ltd.		

AGCU	greiwing	DE	Alfons Greiwing GmbH.		

AGFU		AE	The Arabian Industrial Gases Co., Ltd.		

AGGU		TZ	Alistair James Company		

AGKU	aggreko	GB	Aggreko PLC.		

AGLU	agunsa	CL	Agunsa Agencias Universales S.A.		

AGLU	agl	IE	Associated Global Logistics Ltd.		

AGMU	agmark	US	Agmark Capital Holdings Inc.		

AGOU	airgas	US	Airgas Inc.		

AGPU		GB	A - Gas (UK) Ltd.		

AGRU		FR	Agricool SAS.		

AGSU	aga	SE	AGA Gas AB.		

AGXU	africa greentec	TR	AGT Konteyner Ltd. Sgi.		

AHGU		AE	Al Ghaith Industries LLC.		

AHLU		GB	Abnormal Load Engineering Ltd.		

AIBU	air liquide	BR	Air Liquide Brazil Ltda.		

AIDU		US	Albermarle Corporation		

AIGU	airgas	US	Airgas Speciality Gases		

AIJA	aggreko	GB	Aggreko PLC.		

AIMU		US	TRS Containers		

AIPU		IL	A.I.P.P. Industries Ltd.		

AIRU	air products	US	Air Products and Chemical Inc.		

AISU		IT	Trasporti Pesanti di Storti Tullio & C. S.r.l.		

AITU	atofina	NL	Arkema Rotterdam BV.		

AIYU		AE	Aiyer Shipping Container Line		

AJIU	ajinomoto	JP	Sanpo transport c/o Ajinomoto Co., Ltd.		

AJKU	multirack	AU	MultiRack Pty. Ltd.		

AKBU	nuplex	NL	Allnex Resins Netherlands BV.		

AKCU		US	Alaska Container Cache LLC.		

AKKU		TR	Akkon Denizcilik Nakliyat ve Ticaret A.S.		

AKLU	K line	JP	Kawasaki Kisen Kaisha Ltd.		

AKMU		RU	Altalogos LLC.		

AKOU	arkonic	HK	Hong Kong Speciality Gases Co., Ltd.		

AKVU		RU	Akvazashita LLC.		

ALAU	ekö pet	RU	Jsc. Ekopet		

ALBU	alblas allbox	NL	Alblas Internationaal Transport BV.		

ALCU	aarti	IN	Aarti Industries Ltd.		

ALCU	acciona	ES	Naviera Armas		

ALDE	air liquide	DE	Air Liquide		

ALEU		NL	Ale Heavylift BV.		

ALEU		US	Air Liquide Electronics		

ALFU	air liquide	TW	Air Liquide Far Eastern Ltd.		

ALGU	air liquide	FR	Air Liquide Helium Services		

ALHU	air liquide	TT	Air Liquide Trinidad&Tobago Ltd.		

ALIU		US	Universal Forest Products Inc.		

ALJU	air liquide	JP	Air Liquide Japan Co., Ltd.		

ALKU		TR	Altun Lojistik A.S.		

ALLU	alconet	NL	Allied Container Network BV.		

ALMU	almar	ZA	Almar Container Investments Inc.		

ALNU		NL	CARU Containers BV.		

ALOU	air liquide	GB	Air Liquide Oil & Gases Services Ltd.		

ALOU	pic leasing	US	Precision International		

ALPU	jumbo	FR	Air Liquide Electronics Materials		

ALRU	almar	ZA	Almar Container Investments Inc.		

ALSU	air liquide	SE	Air Liquide AB.		

ALTU	algeco	DE	VTG AG.		

ALUU	isab	SE	Nordic Bulkers AB.		

ALVU	air liquide	CN	Air Liquide Electronics Materials & Zhang Jia Gang Co., Ltd.		

ALWU	air liquide	KR	Air Liquide Global Electronics Materials		

ALZU	alzamar	ES	Alzamar S.L.		

AMBE	ambrogio	IT	Ambrogio Trasporti S.p.A.		

AMBU		AR	Ambika S.r.l.		

AMCU	cma cgm	FR	CMA CGM		

AMEU		AE	Ace Cranes & Engineering Fz-LLC.		

AMFU	amficon	BM	Textainer Equipment Management Ltd.		

AMGU	amg	AU	Australian Movers Group		

AMGU		CA	Amgas Services Inc.		

AMHU		US	American Highway Inc.		

AMIU	amlf	IN	AMLF Logistics Pvt. Ltd.		

AMLU	aml	AU	Australian Moving Logistics		

AMLU	antillean line	US	Antillean Marine Shipping Corporation		

AMLU	aml	US	Alaska Marine Lines		

AMMU		IT	Ammann Italy SpA.		

AMOU		FI	Amomatic Oy.		

AMPU		SG	Aik Moh Paints & Chemicals Pte. Ltd.		

AMSU	ams	VN	Amasis Shipping Company Ltd.		

AMTU	super shuttle	PH	Asian Marine Transport Corporation		

AMXU		IT	Autamarocchi S.p.A.		

AMZU	amficon	BM	Textainer Equipment Management Ltd.		

ANDU		BE	Andrex Bvba.		

ANEU		IT	Ansaldo Energia SpA.		

ANGU		AO	Angola LNG Ltd.		

ANHU	anhalt	DE	Spedition Horst Anhalt GmbH. & Co. KG.		

ANLU	multicontainer	UY	Analco S.A..		

ANNU	anl	AU	CMA CGM (ex Australian National Line)		

ANOU	air products	NO	Air Products and Chemicals Inc.		

ANSU	akzo nobel	CN	Akzo Nobel Thioplast Chemicals (Taixing) Co., Ltd.		

ANYU	one way	US	One Way Leasing Inc.		

